Date,Open,High,Low,Close,Adj Close,Volume
20-02-2018,110.959999,110.980003,109.339996,109.480003,96.520966,3835500
21-02-2018,109.349998,109.839996,107.940002,108,95.216156,4501900
22-02-2018,108.330002,109.970001,108.019997,109.260002,96.327019,5394700
23-02-2018,109.360001,110.050003,108.57,109.68,96.697304,4760400
26-02-2018,110.120003,111.169998,110.029999,110.940002,97.808159,5355400
27-02-2018,111.190002,112.080002,110.709999,110.889999,97.764061,6385800
28-02-2018,111,111.650002,109.68,109.730003,96.741386,4638900
01-03-2018,109.209999,109.879997,107.239998,108.120003,96.026436,6896300
02-03-2018,107.910004,109.32,107.900002,109.040001,96.843513,4903600
05-03-2018,108.459999,109.599998,108.019997,109.43,97.189911,3781700
06-03-2018,109.360001,109.620003,108.440002,109.580002,97.323135,3380800
07-03-2018,108.889999,110.059998,108.610001,109.839996,97.554047,4612600
08-03-2018,110.029999,112.129997,109.580002,112.080002,99.543472,5437700
09-03-2018,112.269997,112.57,111.639999,112.540001,99.952034,3680600
12-03-2018,112.5,113.089996,112.080002,112.75,100.138527,4509600
13-03-2018,113.269997,113.900002,112.720001,113.599998,100.893463,4590000
14-03-2018,113.57,113.769997,112.230003,112.610001,100.014198,4055700
15-03-2018,112.400002,113.25,111.660004,111.989998,99.463547,3906800
16-03-2018,112.330002,113.199997,111.580002,111.639999,99.152702,7730800
19-03-2018,111.650002,111.989998,110.050003,110.360001,98.015877,4216700
20-03-2018,110.75,111.300003,109.830002,109.900002,97.607315,3319000
21-03-2018,109.889999,110.080002,108.529999,108.739998,96.57708,3867600
22-03-2018,108.449997,109.669998,107.800003,107.940002,95.866562,4325500
23-03-2018,108.089996,108.739998,105.940002,106.150002,94.276779,4873300
26-03-2018,106.68,107.470001,106.089996,106.809998,94.862946,4119400
27-03-2018,107.230003,108.540001,106.510002,107.639999,95.600121,5036300
28-03-2018,108.139999,110.110001,108,109.18,96.967857,6413000
29-03-2018,110.120003,110.660004,108.970001,109.150002,96.941216,3829500
02-04-2018,108.620003,109.220001,106.440002,107.050003,95.076118,4325500
03-04-2018,107.389999,108.529999,106.589996,108.190002,96.088608,4699000
04-04-2018,107.779999,110.730003,107.239998,110.18,97.856018,4694200
05-04-2018,110.43,111.18,109.75,110.57,98.202385,3275700
06-04-2018,110.059998,110.980003,108.769997,109.300003,97.074455,3579100
09-04-2018,109.540001,110.449997,108.779999,109.379997,97.145477,2620000
10-04-2018,109.739998,110.199997,108.919998,109.400002,97.163246,2817000
11-04-2018,108.57,109.470001,108.419998,108.68,96.523788,4000200
12-04-2018,108.959999,109.510002,108.269997,108.309998,96.195175,2691700
13-04-2018,108.849998,109.459999,108.519997,109.260002,97.038918,2828300
16-04-2018,109.75,110.639999,109.519997,109.919998,97.625092,2769800
17-04-2018,108.690002,109.080002,107.980003,108.870003,96.692543,5022000
18-04-2018,108.970001,109.360001,106.459999,106.980003,95.013947,6525500
19-04-2018,106.709999,106.940002,105.080002,105.57,93.76165,6320200
20-04-2018,105.449997,105.599998,102.269997,102.480003,91.017303,8650000
23-04-2018,102.550003,102.800003,101.839996,102.580002,91.106102,6670600
24-04-2018,102.620003,102.849998,100.970001,101.440002,90.09362,5695500
25-04-2018,101.209999,102.360001,100.849998,101.150002,89.836044,4828300
26-04-2018,102.25,104.080002,101.150002,103.260002,91.710045,5978800
27-04-2018,102.220001,102.989998,101.650002,101.709999,90.333397,4765900
30-04-2018,101.849998,102.389999,100.580002,100.940002,89.649529,5479900
01-05-2018,100.360001,100.93,98.57,99.129997,88.041985,4543900
02-05-2018,99.160004,99.360001,97.029999,97.230003,86.354515,5927700
03-05-2018,97.480003,98.089996,96.699997,97.599998,86.683128,6668200
04-05-2018,97.550003,99.769997,97.5,98.989998,87.917618,5937000
07-05-2018,98.980003,99.309998,98.07,98.230003,87.242653,3475400
08-05-2018,97.910004,97.989998,96.43,96.790001,85.963722,5333700
